Start Date,End Date,Concert Name,Bands,Venue,Location
10/18/2025,,Sometimes When You're On You're Really Fucking On Tour,Rilo Kiley / Waxahatchee,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
07/16/2025,,Summer Concert Series 2025,Blu DeTiger,The Culver Studios,"Culver City, California, United States"
05/07/2025,,Sometimes When You're On You're Really Fucking On Tour,Rilo Kiley / Allie Crow Buckley,Libbey Bowl,"Ojai, California, United States"
11/17/2024,,Hisaishi Leads Pictures at an Exhibition,Joe Hisaishi / Los Angeles Philharmonic / Emmanuel Ceysson,Walt Disney Concert Hall,"Los Angeles, California, United States"
09/21/2024,,From The Studio To The Stage,Bleachers / Amy Allen,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
08/18/2024,,Garden Concerts for Kids,Little Miss Ann,Getty Center Central Garden,"Los Angeles, California, United States"
08/06/2024,,,Dayglow,The Culver Studios,"Culver City, California, United States"
07/15/2024,,The Decemberists: A Peaceable Kingdom,The Decemberists / Ratboys,The Bellwether,"Los Angeles, California, United States"
12/08/2023,,Joy’All Ball Tour,Jenny Lewis / Shabazz Palaces / Logan Ledger,Hollywood Palladium,"Los Angeles, California, United States"
10/13/2023,,The Postal Service & Death Cab for Cutie: Give Up & Transatlanticism 20th Anniversary Tour,The Postal Service / Death Cab for Cutie / The Beths,Hollywood Bowl,"Los Angeles, California, United States"
09/07/2023,,,Matt and Kim,The Observatory,"Santa Ana, California, United States"
08/19/2023,,,Gregory Porter,Burton Chase Park,"Marina del Rey, California, United States"
07/17/2023,,,HAIM / Buzzy Lee,The Bellwether,"Los Angeles, California, United States"
07/15/2023,,Video Game Music,Marina Del Rey Summer Symphony,Burton W. Chace Park,"Marina del Rey, California, United States"
07/09/2023,,Maestro of the Movies,John Williams / Gustavo Dudamel / Los Angeles Philharmonic / Los Angeles Children's Chorus,Hollywood Bowl,"Los Angeles, California, United States"
06/21/2023,,An Evening with Cake,Cake,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
06/02/2023,,Sunset Sessions,Matt Jennings,Penmar Golf Course,"Venice, California, United States"
10/15/2022,,My Chemical Romance Reunion Tour,My Chemical Romance / Thursday / The Homeless Gospel Choir,Kia Forum,"Inglewood, California, United States"
08/27/2022,,,Blind Boys of Alabama,Burton Chace Park,"Marina del Rey, California, United States"
08/04/2022,,Marina Del Rey Summer Symphony: Celebrating Music in Film,Culver City Symphony Orchestra,Burton Chace Park,"Marina del Rey, California, United States"
07/30/2022,,,Las Cafeteras,Burton W. Chace Park,"Marina Del Rey, CA, US"
07/27/2022,,Penmar Music Night ,Paul Chesney Band / Watson / Two Truths Musicians,The Penmar Venice,"Venice, California, United States"
06/23/2022,,,Bright Eyes / Hurray for the Riff Raff / Cate Le Bon,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
06/14/2022,,,Lake Street Dive / Madeline Edwards,Cape Cod Melody Tent,"Hyannis, Massachusetts, United States"
08/18/2021,,Jason Mraz: Look For The Good Live! Summer Tour,Jason Mraz / Molly Miller Trio / Philip Labes,Leader Bank Pavilion,"Boston, Massachusetts, United States"
12/07/2019,,She & Him - Christmas Party,She & Him / Pete Lee,College Street Music Hall,"New Haven, Connecticut, United States"
11/22/2019,,10 Year Celebration Tour,Matt and Kim / The Frights,House of Blues Boston,"Boston, Massachusetts, United States"
10/25/2019,,,Jenny Lewis / The Watson Twins,House of Blues Boston,"Boston, Massachusetts, United States"
10/06/2019,,Game of Thrones: Live Concert Experience,Ramon Djawadi,Hollywood Bowl,"Los Angeles, California, United States"
09/03/2019,,Father of the Bride Tour,"Vampire Weekend / Christone ""Kingfish"" Ingram",Agganis Arena,"Boston, Massachusetts, United States"
08/22/2019,,,The Avett Brothers / Lake Street Dive,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
08/21/2019,,Peter and the Wolf,Los Angeles Philharmonic / Ludovic Morlot  / John C. Reilly,Hollywood Bowl,"Los Angeles, California, United States"
07/26/2019,07/28/2019,Lowell Folk Festival 2019,"Kenny ""Blues Boss"" Wayne / Open the Door for Three / Walter ""Wolfman"" Washington & The Roadmasters / Mangum & Company / Albert Lee / Yuliyana Krivoshapkina & Aidyn Byrtaan-ool / Chris Thomas & His Smoke Dancers / Vasilis Kostas Trio / Derek Mcalister / The Bing Brothers Band / John Stevens Polka Band / Doyle Lawson & Quicksilver / Gerardo Contino y Los Habaneros / Germán López & Antonio Toledo / Grupo Cimarrón / Himalayan Heritage Band / Rara Bel Poze / Susan Watts & the Wonder Women of Klezmer / Taj Weekes & Adowa / Terry & the Zydeco Bad Boys / Vieux Farka Touré / Yamini Kalluri & the Carnatic Ensemble","Lowell, MA","Lowell, Massachusetts, United States"
07/04/2019,,2019 Boston Pops Fireworks Spectacular,Queen Latifah / Arlo Guthrie / Texas Tenors / Amanda Mena / Boston Pops,Hatch Shell,"Boston, Massachusetts, United States"
06/21/2019,,,Matt and Kim,The Plaza at Mgm Springfield,"Springfield, Massachusetts, United States"
06/09/2019,,From The Screen To Your Stereo To Your Town Tour,New Found Glory / Real Friends / The Early November / Doll Skin,House of Blues Boston,"Boston, Massachusetts, United States"
05/16/2019,,,Matt Hires,Rockwood Music Hall Stage 3,"New York, New York, United States"
05/15/2019,,,Crazy Ex Girlfriend Live / Rachel Bloom,Radio City Music Hall,"New York, New York, United States"
05/10/2019,,,Scott Bradlee's Postmodern Jukebox,The Music Hall,"Portsmouth, New Hampshire, United States"
03/17/2019,,St. Patrick's Day Celebration,Great Bay Sailor,The Press Room,"Portsmouth, New Hampshire, United States"
02/13/2019,,,Metric / ZOÉ / July Talk,House of Blues Boston,"Boston, Massachusetts, United States"
11/17/2018,,,Lake Street Dive,"Wang Theatre, Boch Center","Boston, Massachusetts, United States"
10/05/2018,,Your Girl / Your Ghost,The Decemberists / Marissa Nadler,Orpheum Theatre,"Boston, Massachusetts, United States"
08/13/2018,,,Ben Folds / Cake / Tall Heights,Blue Hills Bank Pavilion,"Boston, Massachusetts, United States"
07/17/2018,,,Coheed and Cambria / Taking Back Sunday / The Story So Far,Blue Hills Bank Pavilion,"Boston, Massachusetts, United States"
07/04/2018,,2018 Boston Pops Fireworks Spectacular,Indigo Girls / Rita Moreno / Boston Pops Orchestra / Rachel Platten / Rhiannon Giddens,Hatch Shell on the Charles River Esplanade,"Boston, Massachusetts, United States"
05/21/2018,,,The Kooks / The Academics,House of Blues Boston,"Boston, Massachusetts, United States"
04/26/2018,,"",Matt and Kim / Tokyo Police Club / FUTURE FEATS,House of Blues Boston,"Boston, Massachusetts, United States"
04/05/2018,,,Crazy Ex Girlfriend Live / Rachel Bloom,Chevalier Theatre ,"Medford, Massachusetts, United States"
01/30/2018,,,Scott Bradlee's Postmodern Jukebox,The Wilbur,"Boston, Massachusetts, United States"
09/14/2017,,Home of The Strange Tour Part 2,Joywave / Cold War Kids / Young the Giant,Blue Hills Bank Pavilion,"Boston, Massachusetts, United States"
08/25/2017,,Jon Brion,Jon Brion / Zach Galifianakis,Largo at the Coronet,"Los Angeles, California, United States"
07/29/2017,,,Hans Zimmer,"Wang Theatre, Boch Center","Boston, Massachusetts, United States"
07/21/2017,,,Conor Oberst / Hop Along,House of Blues Boston,"Boston, Massachusetts, United States"
05/10/2017,,,Jenny Lewis / Ryan Adams,Blue Hills Bank Pavilion,"Boston, Massachusetts, United States"
12/09/2016,,,The Van Burens,"Corner & Bakery, The Middle East Restaurant and Nightclub","Cambridge, Massachusetts, United States"
10/01/2016,,,Matt Hires,Hotel Cafe,"Los Angeles, California, United States"
07/26/2016,,Flight of the Conchords,Arj Barker / Kristen Schaal / Rhys Darby / Flight of the Conchords,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
06/23/2016,,,Esme Patterson / Frankie Lee / Laura Jean Anderson,Resident,"Los Angeles, California, United States"
05/27/2016,,15 Year Anniversary Tour Night One,The Used / The New Regime,The Novo by Microsoft,"Los Angeles, California, United States"
01/30/2016,,,Jenny Lewis / M. Ward / The Watson Twins,The Cathedral Sanctuary at Immanuel Presbyterian Church,"Los Angeles, California, United States"
08/28/2015,,Oak & Gorski / Scotch Jane / John Nolan / Soren Bryce,John Nolan / Soren Bryce / Oak & Gorski / Scotch Jane,The Hotel Cafe ,"Los Angeles, California, United States"
08/08/2015,,Alt 98.7 Summer Camp,Andrew McMahon in the Wilderness / Matt and Kim / James Bay / Saint Motel / Wolf Alice / Meg Myers,Santa Monica Pier,"Santa Monica, California, United States"
04/30/2015,,,Matt and Kim / Waters,The Observatory,"Santa Ana, California, United States"
03/22/2015,,Musink Tattoo & Music Festival Day 3,Prayers / Yelawolf / Blink-182,Orange County Fair and Events Center,"Costa Mesa, California, United States"
12/20/2014,,Saves the Day / Say Anything / Reggie and The Full Effect,Say Anything / Reggie And The Full Effect / Saves The Day,House of Blues Sunset Strip,"Los Angeles, California, United States"
11/12/2014,,,The All-American Rejects,Hotel Cafe,"Los Angeles, California, United States"
11/10/2014,,,Shakey Graves / Esme Patterson,El Rey Theatre,"Los Angeles, California, United States"
11/01/2014,,,Danny Elfman,"Microsoft Theater, L.A. Live","Los Angeles, California, United States"
10/05/2014,,,John Prine / Conor Oberst,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
09/14/2014,,,The Avett Brothers / Dawes,Shrine Auditorium and Expo Hall,"Los Angeles, California, United States"
08/23/2014,,,Lake Street Dive / The Dustbowl Revival,The Wiltern,"Los Angeles, California, United States"
08/08/2014,,,Dale Watson / Spoon,Hollywood Forever Cemetery,"Los Angeles, California, United States"
05/21/2014,,,Jenny Lewis,The Observatory,"Santa Ana, California, United States"
12/19/2013,,,Andrew Bird / Tift Merritt,Immanuel Presbyterian Church,"Los Angeles, California, United States"
09/30/2013,,,Arctic Monkeys / Mini Mansions,The Wiltern,"Los Angeles, California, United States"
09/28/2013,,,The Lumineers / Dr. Dog / Nathaniel Rateliff,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
09/04/2013,,Fun. / Tegan & Sara,Tegan & Sara / Fun.,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
08/08/2013,,Ventura County Fair 2013,Plain White T's,Ventura County Fairgrounds,"Ventura, California, United States"
07/21/2013,,,Baths / Big Freedia / The Postal Service,Cal Coast Credit Union Open Air Theatre,"San Diego, California, United States"
03/19/2013,,,Josh Ritter / Lake Street Dive,The Fonda Theatre,"Los Angeles, California, United States"
10/25/2012,,Tell All Your Friends 10 Year Anniversary,Taking Back Sunday / Bayside / Man Overboard,Club Nokia,"Los Angeles, California, United States"
09/22/2012,,,Bonnie Raitt / Mavis Staples,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
09/12/2012,,,My Morning Jacket / Iron & Wine,The Wiltern,"Los Angeles, California, United States"
12/08/2011,,,The Kooks / YAWN,Music Box Theatre,"Los Angeles, California, United States"
09/24/2011,,Final Show,Boris Smile,Fingerprints Music,"Long Beach, California, United States"
08/27/2011,,John Williams: Maestro of the Movies,John Williams / Los Angeles Philharmonic / James Taylor,Hollywood Bowl,"Los Angeles, California, United States"
07/22/2010,,Scott Pilgrim vs The World SDCC Premiere,Metric,Balboa Theatre,"San Diego, California, United States"
04/16/2010,,,Josh Ritter,Fingerprints Records,"Long Beach, California, United States"
11/06/2009,,,Tyrone Wells / Stephen Kellogg & the Sixers / Matt Hires,House of Blues Anaheim,"Anaheim, California, United States"
10/17/2008,,,Yael Naim / Peter Von Poehl / Matt Hires,Troubadour,"Los Angeles, California, United States"
08/25/2008,,,Radiohead / Liars,Hollywood Bowl,"Los Angeles, California, United States"
06/18/2008,,,Rilo Kiley / Lavender Diamond / Benji Hughes,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
04/29/2008,,,She & Him / Lavender Diamond,Vista Theatre,"Los Angeles, California, United States"
04/05/2008,04/06/2008,Bamboozle Left 2008,Jimmy Eat World / The All-American Rejects / Our Last Night / Take The Crown / Josephine Collective / Alkaline Trio / Bayside / Reel Big Fish / We The Kings / Paramore / New Found Glory / Story of the Year / Face To Face / Zox / The Starting Line / A Rocket to the Moon / Alesana / Alkaline Trio / An Angle / The Audition / Austin Gibbs and the States / Automatic Loveletter / Brighten / Broadway Calls / The Bouncing Souls / The Cab / The Chariot / Charlotte Sometimes / Dance Gavin Dance / Danger Radio / Daphne Loves Derby / Dear and the Headlights / Every Avenue / Eye Alaska / The Forecast / Four Year Strong / Hit the Lights / House of Fools / Jimmy Eat World / Josephine Collective / The Morning Light / My Evolution / Our Last Night / Paper Rival / Porcelein / Rookie of the Year / RX Bandits / Say No More / Sky Eats Airplane / Sound and Fury / Steel Train / Story of the Year / Streetlight Manifesto / Supernova / The Tahiti Twins / Takota / Valencia / Valora / Van Stone / Vogue in the Moment / Hawthorne Heights,Verizon Wireless Amphitheatre,"Irvine, California, United States"
03/13/2008,,,Say Anything / Biffy Clyro / Manchester Orchestra / Weatherbox,AVALON Hollywood,"Los Angeles, California, United States"
12/28/2007,,,The Higher / Joe Rogan,"House of Blues Las Vegas, Mandalay Bay Resort and Casino","Las Vegas, Nevada, United States"
11/19/2007,,,Say Anything / Young Love / Hellogoodbye,Canyon Club,"Agoura Hills, California, United States"
11/10/2007,,Riot! Tour,Paramore / The Starting Line / The Almost,The Majestic Ventura Theater ,"Ventura, California, United States"
09/29/2007,,"",Bright Eyes / LA Philharmonic / Yo La Tengo / M. Ward,Hollywood Bowl,"Los Angeles, California, United States"
07/07/2007,,,The Decemberists / Band of Horses / Andrew Bird,Hollywood Bowl,"Los Angeles, California, United States"
05/17/2007,,Ben Gibbard / David Bazan / Jonathan Rice,Jenny Lewis / Ben Gibbard / Jonathan Rice / David Bazan,"Royce Hall, UCLA","Los Angeles, California, United States"
04/04/2007,,Brand New / Manchester Orchestra / Kevin Devine,Brand New / Kevin Devine / Manchester Orchestra,AVALON Hollywood,"Los Angeles, California, United States"
11/05/2006,,,The Who / Rose Hill Drive,Hollywood Bowl,"Los Angeles, California, United States"
08/13/2006,,,Death Cab for Cutie / Spoon / Mates of State,"Greek Theatre, Griffith Park","Los Angeles, California, United States"
08/08/2006,,Ventura County Fair,The All-American Rejects / Alana Grace,Seaside Park,"Ventura, California, United States"
04/18/2006,,,Yellowcard / Mae / Over It,SOMA San Diego,"San Diego, California, United States"
