game_uuid,list_uuid,position,section
C4D6C337-F2B4-46E9-B22E-FBBDD088580A,710E1B20-75EE-4159-874D-78597F374D92,32,
70B478FE-10DD-475E-9BD8-1589F873F588,710E1B20-75EE-4159-874D-78597F374D92,48,
D30B4B52-2A46-4FFC-AC5E-83BAD88F3A9A,64E7E898-4B07-4B67-8108-CF24CEE5D265,0,
A1EED58A-CC4C-40D3-B168-5D610E93CA82,710E1B20-75EE-4159-874D-78597F374D92,23,
322AD90A-483C-46C8-95C3-EE0E73D422C0,710E1B20-75EE-4159-874D-78597F374D92,7,
87BC5BB5-3CF9-47B2-B232-57EA78659AAC,9AB73FA7-25C8-42D0-B656-2262C4973031,0,
7EFFAF3E-14C9-4C7C-8934-FC776D14827C,710E1B20-75EE-4159-874D-78597F374D92,29,
CF4F58E7-098E-495F-B6D9-42389583FD28,710E1B20-75EE-4159-874D-78597F374D92,43,
983E34D0-B002-4A07-AACA-C993D34A229B,710E1B20-75EE-4159-874D-78597F374D92,38,
1DAC1183-3490-4A28-92B8-3FF35BBF968D,64E7E898-4B07-4B67-8108-CF24CEE5D265,1,
7014986D-6191-49DF-BBDE-7C9C940D22CE,64E7E898-4B07-4B67-8108-CF24CEE5D265,3,
5C970FD7-849C-46CC-BDB4-739492FC992F,710E1B20-75EE-4159-874D-78597F374D92,36,
F02B8473-630D-4F10-B290-6A75B15FEC80,710E1B20-75EE-4159-874D-78597F374D92,10,
CA9E0C5E-86B3-4DD1-B3E1-A07557005500,710E1B20-75EE-4159-874D-78597F374D92,21,
1D658F13-31FE-40D3-8578-C7AA37CF2664,710E1B20-75EE-4159-874D-78597F374D92,30,
54811EBD-F8D2-4D97-ABDC-4BC680B7A6C0,710E1B20-75EE-4159-874D-78597F374D92,45,
9DDAFF41-4048-4892-91EF-4692852FA6BF,710E1B20-75EE-4159-874D-78597F374D92,11,
2C7B1767-B8B4-420A-8AF2-17630584557A,710E1B20-75EE-4159-874D-78597F374D92,37,
C683C18E-81CB-4628-8742-0D8794496498,710E1B20-75EE-4159-874D-78597F374D92,44,
0B16ADBF-DE3C-44F9-B1BF-BD1CB270C98C,710E1B20-75EE-4159-874D-78597F374D92,9,
5DEC4BFD-83FF-4BBE-8B11-DB5BFFABB28C,710E1B20-75EE-4159-874D-78597F374D92,26,
1AE274E5-79DD-4AB6-B8B0-B4AF7F92A4D4,710E1B20-75EE-4159-874D-78597F374D92,25,
59B763FE-B504-4FB1-9207-58F9B97B9C06,710E1B20-75EE-4159-874D-78597F374D92,18,
5CA44290-5C9F-4DA0-9FA1-DF448058074C,710E1B20-75EE-4159-874D-78597F374D92,46,
39D18518-7879-4107-A9D3-BFAC76B4F30A,710E1B20-75EE-4159-874D-78597F374D92,1,
81607B2C-98B1-40EA-AECB-5812C159171E,710E1B20-75EE-4159-874D-78597F374D92,40,
527272A6-6E34-4FE5-B7C9-785466A1FAF2,710E1B20-75EE-4159-874D-78597F374D92,15,
837E8D3C-D769-4FAE-A116-216F9DAF5DDA,BB37F0FD-7A05-4BF2-8C00-61D22309E242,0,
F69CE6ED-0396-4AFC-8058-90D43BEA2006,64E7E898-4B07-4B67-8108-CF24CEE5D265,2,
E733C623-327A-4ACE-A94B-EFC809695B12,710E1B20-75EE-4159-874D-78597F374D92,16,
2A53F53F-2686-4C27-B7AD-50D534218660,64E7E898-4B07-4B67-8108-CF24CEE5D265,0,
FA20F845-0AA4-43DC-8D64-CED4D8ED2ECF,710E1B20-75EE-4159-874D-78597F374D92,27,
50270960-BEB9-48A0-9E44-9163D042F5C0,710E1B20-75EE-4159-874D-78597F374D92,41,
E576C32E-1F68-4C68-8847-BCFFDEFCFBCE,710E1B20-75EE-4159-874D-78597F374D92,31,
1F8E6BE3-4A42-4E00-81CE-052DF4645290,710E1B20-75EE-4159-874D-78597F374D92,24,
A8111830-2F63-4155-9224-9F3C1C15B532,710E1B20-75EE-4159-874D-78597F374D92,2,
9C77F49F-753A-4176-B737-BD34B5831043,710E1B20-75EE-4159-874D-78597F374D92,20,
E852F391-66C2-4034-8099-B88BED304AD1,710E1B20-75EE-4159-874D-78597F374D92,14,
9F70DA15-A4F1-4BDF-8E4F-3DE2A46A8440,710E1B20-75EE-4159-874D-78597F374D92,5,
3B3CAAAA-AA66-494D-8967-D9D8664CD6A7,710E1B20-75EE-4159-874D-78597F374D92,34,
D07C623A-BFA6-41FF-896C-A6F7ED1FC649,710E1B20-75EE-4159-874D-78597F374D92,0,
A27858D4-027F-485C-8758-FF1D36D6E517,710E1B20-75EE-4159-874D-78597F374D92,17,
9000AED2-70A3-4894-94FD-17D44EE7D8CC,710E1B20-75EE-4159-874D-78597F374D92,8,
CB6AB965-67AC-4D7A-B639-50582095CD2D,710E1B20-75EE-4159-874D-78597F374D92,13,
B02286E8-FCEE-40F1-950E-FD8788A6F01A,710E1B20-75EE-4159-874D-78597F374D92,4,
46C04E19-B55B-4EC2-BE33-B2D35A74359B,710E1B20-75EE-4159-874D-78597F374D92,19,
7407033F-FD72-48AB-89EA-295EBD7F8932,710E1B20-75EE-4159-874D-78597F374D92,35,
AD946744-B3E8-4FA2-A128-4127C5CDADA0,710E1B20-75EE-4159-874D-78597F374D92,47,
DC66CA47-34F3-406C-BB59-CE76CDB2B3DB,710E1B20-75EE-4159-874D-78597F374D92,6,
6B599E5D-1E8D-4F25-BA4F-EA0DAA077D67,710E1B20-75EE-4159-874D-78597F374D92,12,
7184F7D5-33B3-482E-893F-2F2C5FCF1F68,710E1B20-75EE-4159-874D-78597F374D92,42,
FDD03379-D974-452F-83E0-A5BC1CA8F908,710E1B20-75EE-4159-874D-78597F374D92,22,
DC1ED58A-03E7-4F53-A057-1DC02637394F,710E1B20-75EE-4159-874D-78597F374D92,3,
D64575F2-534C-4A24-9F36-9A8DB42CEBE3,710E1B20-75EE-4159-874D-78597F374D92,33,
89A9664F-952E-4E8E-88D8-9FF7568A4CE4,710E1B20-75EE-4159-874D-78597F374D92,39,
E4FF3C57-2041-4799-9C6E-0C5D540C2EF3,710E1B20-75EE-4159-874D-78597F374D92,28,
